plate,phone,email,entry_point,exit_point,entry_time,exit_time,speed_kmph,speed_limit_kmph
TX-OTW6814,+1-682-414-4216,txotw6814@yahoo.com,Staten Island Ferry,Manhattan Downtown,2025-11-27T13:00:00,2025-11-27T13:22:00,142.87,112.65
NY-WLW6201,+1-585-303-6962,nywlw6201@icloud.com,Lincoln Tunnel,Bronx Terminal Market,2025-11-27T07:45:00,2025-11-27T08:31:00,114.14,120.7
CA-ELE6136,+1-626-469-0315,caele6136@outlook.com,Queens Blvd,Brooklyn Bridge,2025-11-27T08:06:00,2025-11-27T08:52:00,134.18,128.75
TX-FPL5060,+1-254-248-9817,txfpl5060@icloud.com,Queens Blvd,George Washington Bridge,2025-11-27T20:07:00,2025-11-27T20:48:00,100.8,104.61
FL-DLX4934,+1-386-414-4964,fldlx4934@outlook.com,Wall Street,I-87 Exit 7A,2025-11-27T20:17:00,2025-11-27T20:41:00,112.73,96.56
FL-AZB1485,+1-786-241-3759,flazb1485@gmail.com,Queens Blvd,Wall Street,2025-11-27T16:09:00,2025-11-27T16:27:00,115.35,120.7
NY-NCG7612,+1-838-657-5822,nyncg7612@yahoo.com,I-95 Exit 15,Staten Island Ferry,2025-11-27T15:13:00,2025-11-27T15:40:00,85.16,96.56
CA-WLR9350,+1-559-863-8169,cawlr9350@yahoo.com,I-95 Exit 15,George Washington Bridge,2025-11-27T12:07:00,2025-11-27T12:46:00,158.57,128.75
CA-ESL9940,+1-818-402-5713,caesl9940@icloud.com,Queens Blvd,Brooklyn Bridge,2025-11-27T10:04:00,2025-11-27T10:41:00,66.7,80.47
CA-JTN8491,+1-559-332-4520,cajtn8491@icloud.com,Brooklyn Bridge,Bronx Terminal Market,2025-11-27T19:59:00,2025-11-27T20:39:00,134.39,104.61
CA-GIB4290,+1-650-555-7867,cagib4290@icloud.com,I-87 Exit 7A,Manhattan Downtown,2025-11-27T07:28:00,2025-11-27T07:38:00,116.93,104.61
FL-KGC4928,+1-863-791-0776,flkgc4928@gmail.com,Manhattan Downtown,Lincoln Tunnel,2025-11-27T15:36:00,2025-11-27T16:34:00,114.0,120.7
